Date,Dividends
1996-06-11,1.149784
1997-05-12,1.533045
1998-06-09,1.053968
1999-06-17,0.574892
2000-06-13,0.479076
2003-06-30,0.766522
2004-02-12,0.766522
2004-06-22,0.766522
2005-06-23,2.395382
2006-06-23,2.491198
2007-06-01,2.874459
2008-06-16,2.874459
2009-08-03,1.187265
2010-08-10,2.968163
2011-07-19,3.957551
2012-07-18,3.957551
2013-07-30,1.978776
2014-07-09,1.978776
2016-07-18,0.200000
2023-07-28,2.000000
